nombre,equipo,minutos_totales,goles_totales,partidos_jugados
Pablo Busto,Real Betis,0,0,0
Jastin García,Girona FC,0,0,0
Edu Expósito,Espanyol Barcelona,1046,0,19
Carlos Guirao,Real Betis,113,0,2
Pere García,RCD Mallorca,0,0,0
Artero,Girona FC,0,0,0
Álvaro Cortés,FC Barcelona,0,0,0
Noah Darvich,FC Barcelona,0,0,0
Alassane Diatta,Villarreal CF,0,0,0
Diego Aguado,Real Madrid,0,0,0
Unai Simón,Athletic Club,1890,0,21
Iker Bachiller,CD Leganés,0,0,0
Pol Tristán,Espanyol Barcelona,0,0,0
Loren Aguado,Real Madrid,3,0,1
Lucas de la Torre,RC Celta,3,0,1
Yoel Lago,RC Celta,584,0,8
Isco,Real Betis,1550,18,22
Daniel Yáñez,Real Madrid,1,0,1
Iñaki Rupérez,Real Sociedad,0,0,0
Arkaitz Mariezkurrena,Real Sociedad,234,4,9
Adrián Arnucio,Real Valladolid,44,0,4
Álvaro García,Sevilla FC,408,2,8
Darío Benavides,Sevilla FC,4,0,1
Rafa Romero,Sevilla FC,0,0,0
Yusi,Real Madrid,0,0,0
Víctor Muñoz,Real Madrid,34,0,2
Ronald Araujo,FC Barcelona,759,2,12
Juanpe,Rayo Vallecano,0,0,0
Diego Méndez,Rayo Vallecano,0,0,0
Gonzalo García,Real Madrid,53,0,3
Facundo Garcés,CD Alavés,675,0,10
Germán García,Real Betis,0,0,0
Rubén Vargas,Sevilla FC,678,4,11
Umar Sadiq,Valencia CF,825,10,16
Jorge Benito,Getafe CF,0,0,0
Löhr,Getafe CF,0,0,0
Cuéllar,Getafe CF,0,0,0
Isma Fernández,Getafe CF,0,0,0
Arsen Zakharyan,Real Sociedad,72,2,3
Roberto Fernández,Espanyol Barcelona,1509,12,19
Guille Ruiz,CD Leganés,0,0,0
Adrián Niño,Atlético de Madrid,10,0,1
Doumbia,CD Alavés,0,0,0
Ismael Bekhoucha,Getafe CF,64,0,4
Jones El-Abdellaoui,RC Celta,0,0,0
David Alaba,Real Madrid,317,0,7
Israel Mora,UD Las Palmas,0,0,0
Sergio Viera,UD Las Palmas,96,0,2
Carlos Lumbreras,CA Osasuna,0,0,0
Max Aarons,Valencia CF,118,0,4
Andy Pelmard,UD Las Palmas,204,0,4
Asier Osambela,CA Osasuna,0,0,0
Ángel Ortiz,Real Betis,353,0,5
Sergio Arribas,Real Betis,90,0,1
Pablo García,Real Betis,34,0,3
Xavi Pleguezuelo,Real Betis,0,0,0
Leandro Antonetti,Sevilla FC,26,0,2
Diego Hormigo,Sevilla FC,38,0,1
Urko González,Espanyol Barcelona,1383,0,17
Mouctar Diakhaby,Valencia CF,650,4,12
Pedro Alemañ,Valencia CF,0,0,0
Grégoire Swiderski,CD Alavés,0,0,0
Juanmi,Getafe CF,699,0,13
Akor Adams,Sevilla FC,131,0,4
Tamás Nikitscher,Real Valladolid,855,0,13
Joseph Aidoo,Real Valladolid,583,0,8
Rayane Belaid,Atlético de Madrid,0,0,0
David López,RCD Mallorca,170,0,2
Pau Cabanes,CD Alavés,187,0,6
Iker Losada,RC Celta,354,2,12
Martín Conde,RC Celta,0,0,0
Antony,Real Betis,1365,10,17
Guilherme Fernandes,Real Betis,0,0,0
Sannadi,Athletic Club,750,2,16
Vladyslav Krapyvtsov,Girona FC,180,0,2
Antal Yaakobishvili,Girona FC,0,0,0
Stefan Bajčetić,UD Las Palmas,976,2,14
Antonio Candela,Real Valladolid,913,0,12
Adam Aznou,Real Valladolid,876,0,13
Florian Grillitsch,Real Valladolid,621,0,13
Cucho Hernández,Real Betis,1150,10,15
Endika Buján,Athletic Club,6,0,1
Aingeru Olabarrieta,Athletic Club,56,0,1
Elías Romero,UD Las Palmas,0,0,0
Sergio Ruiz,UD Las Palmas,0,0,0
Tajon Buchanan,Villarreal CF,412,2,12
Juan Bernat,Getafe CF,703,0,14
Ramón Terrats,Getafe CF,1231,8,15
Iván Jaime,Valencia CF,293,0,9
Borna Barišić,CD Leganés,10,0,1
Duk,CD Leganés,172,0,10
Jon Balda,Real Sociedad,0,0,0
José López,Espanyol Barcelona,0,0,0
Pablo Valencia,CA Osasuna,0,0,0
Arthur Melo,Girona FC,941,0,15
Carles Aleñá,CD Alavés,1097,0,14
Iñigo Arguibide,CA Osasuna,0,0,0
Pedraza,Villarreal CF,453,0,11
Luken Beitia,Real Sociedad,7,0,1
Alex Marchal,Real Sociedad,0,0,0
Roger Hinojo,Espanyol Barcelona,8,0,1
Verde,Real Valladolid,0,0,0
Diego Martín,UD Las Palmas,39,0,2
Alexis Olmedo,FC Barcelona,0,0,0
Jon García,CA Osasuna,0,0,0
Víctor Valdepeñas,Real Madrid,0,0,0
Hamza Bellari,Valencia CF,0,0,0
Ander Izagirre,Athletic Club,0,0,0
Sergio Lozano,Rayo Vallecano,0,0,0
Dani Díaz,Real Sociedad,9,0,1
Yan Diomande,CD Leganés,542,4,10
Ismael Sierra,CA Osasuna,0,0,0
Pablo López,Valencia CF,90,0,1
Nacho Nicolau,UD Las Palmas,0,0,0
Henrique,Real Valladolid,353,0,5
Mikel Goti,Real Sociedad,0,0,0
Sixtus Ogbuehi,CA Osasuna,0,0,0
Omar,Atlético de Madrid,0,0,0
Pablo Ramón,Espanyol Barcelona,0,0,0
Castrín,Sevilla FC,0,0,0
Rudy Kohon,Real Betis,0,0,0
Marcos Fernández,Real Betis,0,0,0
Iago Parente,Real Valladolid,72,0,1
Dani Rodríguez,FC Barcelona,38,0,1
Landry Farré,FC Barcelona,0,0,0
Oso,Sevilla FC,0,0,0
Lulo Dasilva,Sevilla FC,0,0,0
Miguel Román,RC Celta,0,0,0
Alejandro Rego,Athletic Club,0,0,0
Alani,Real Valladolid,158,0,3
Lucas Núñez,Valencia CF,0,0,0
Mario Rivas,Real Madrid,0,0,0
Iker Varela,Athletic Club,0,0,0
Xavi Moreno,Real Valladolid,46,0,1
Hugo Solozábal,CD Leganés,0,0,0
Arturo Rodríguez,UD Las Palmas,20,0,1
José Carlos González,UD Las Palmas,10,0,1
Lander Pinillos,CD Alavés,0,0,0
Rafa Fernández,CA Osasuna,0,0,0
